Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,9000,1229,1249,1443,1540,1818,37,2436,0.000%,457.01518,76.32,79.44
TOTAL,9000,1229,1249,1443,1540,1818,37,2436,0.000%,457.01518,76.32,79.44
